Rank,Name,Region,Seed,Win Loss %,Scoring Offense,Scoring Defense,Scoring Margin,FG %,FG % Defense,3pt FG / Game,3pt FG %,3pt FG Defense,Free Throw %,Rebound Margin,Assists / Game,Assist Turnover Ratio,Blocked Shots / Game,Steals / Game,Turnovers / Game,Turnover Margin,Person Fouls / Game
1,Kentucky,0,1,94.1,76.7,59,17.7,48.3,36.8,5.7,37.1,32.1,72,7.2,13.2,1.17,8.8,6.3,11.4,0.6,14.6
2,Syracuse,1,1,93.9,74.5,60.4,14.1,46.5,38.5,6.4,34.5,30.6,69.1,-1.3,15.8,1.5,7.1,9.6,10.5,6,15.1
3,N. Carolina,3,1,85.3,82,66.9,15.1,46.1,39.3,5.1,33.9,31.9,68.2,10.8,17.4,1.48,5.6,6.8,11.8,1.7,14.8
4,Michigan St.,2,1,79.4,72.1,59.1,13,47.6,37.8,5.5,36.5,29.2,69.8,8,15.3,1.18,4.4,7.3,13,-0.1,17.6
5,Kansas,3,2,81.8,75,61.9,13,48.5,38.3,6,35.8,34.7,69.6,5.9,15.6,1.18,5.6,7.4,13.3,0.7,17.6
6,Duke,0,2,81.8,77.5,68.5,9.1,45.8,43.3,8.1,37.6,31.7,70.2,2.5,12.5,1.02,4,6.2,12.2,0.7,18.2
7,Ohio St.,1,2,79.4,74.8,59.1,15.7,48.3,40.6,4.9,,32.2,69.8,7.4,15,1.29,3,7.2,11.6,3.4,16.1
8,Missouri,2,2,88.2,80.3,65.7,14.6,50.4,44.1,8.2,39.5,36.2,76.6,0.7,16.2,1.57,2.8,8.2,10.3,4.1,14.1
9,Baylor,0,3,79.4,74.9,64.9,9.9,47,41.4,6.8,38.1,33.7,75.1,5,15,1.08,4.8,7.6,13.9,0.4,17.6
10,Marquette,2,3,78.1,75.9,66.2,9.7,45.9,40.6,5.7,33.7,32.1,72.1,-0.3,16.8,1.27,3.5,8.8,13.3,3.4,17.9
11,Florida St.,1,3,72.7,70.3,62.9,7.4,45.8,38.1,6.2,35.3,30.5,70.3,3.4,12.2,0.75,5.9,7.6,16.3,-1,18.8
12,Georgetown,3,3,74.2,69.1,59.2,9.9,46.3,38.7,5.6,34.7,27,69.7,5.7,13.7,1.08,4.8,6.2,12.7,0.4,17.6
13,Michigan,3,4,72.7,66.5,61.4,5.2,45.6,42.6,8.2,35.2,34.4,72,-1,12.7,1.17,2.2,5,10.9,1.7,15.6
14,Wisconsin,1,4,72.7,63.9,52.9,11,42.4,38.3,7.6,36.1,28.9,74.1,2.2,11.7,1.3,3.5,5.2,9,2,14.2
15,Indiana,0,4,75.8,77.3,65.5,11.7,48.7,42.1,6.4,43.3,34.9,76.2,4.3,13.4,1.05,3.4,6.4,12.8,0.8,17.6
16,Louisville,2,4,74.3,68.8,61.2,7.7,42.5,37.9,5.9,31.1,30.8,68.6,1.9,13.8,0.94,4.9,9.1,14.7,1.2,17.9
