Rank,Name,Games Won,Region,Seed,Win %,SoS,Pts / Game,Opp Pts / Game,FG %,3Pt FG %,Free Throw %,Offense Rating,Defense Rating,Adj. Score Margin,Rebound %,Off. Rebound %,Effective FG %,True Shooting %,Opp. True Shoot %,Pace,Turnover %,Opp. Turnover %,Turnover Margin,Assist %,Assists / Turnover,FT / FGA,Opp. FT / FGA
1,Louisville,6,0,1,0.9573304158,0.9319271333,0.8068403909,0.7558927995,0.6644295302,0.505952381,0.6055045872,0.8179669031,0.8414985591,0.9423929099,0.6979166667,0.7721518987,0.5891891892,0.6201117318,0.7810218978,0.4968553459,0.7431192661,0.88,0.8455384615,0.4932432432,0.64,0.6313364055,0.7153558052
4,Gonzaga,1,1,1,1,0.6946308725,0.8908794788,0.7210203423,0.9395973154,0.7321428571,0.5871559633,1,0.7089337176,0.988183161,0.8125,0.7552742616,0.8540540541,0.8491620112,0.7883211679,0.427672956,0.8073394495,0.48,0.6369230769,0.4763513514,0.81,0.6313364055,0.8277153558
2,Kansas,2,2,1,0.9168490153,0.855704698,0.8309446254,0.6535356797,0.8322147651,0.6904761905,0.7339449541,0.7895981087,0.7608069164,0.8833087149,0.7760416667,0.5864978903,0.7351351351,0.7765363128,0.9781021898,0.5849056604,0.5412844037,0.288,0.4024615385,0.5844594595,0.57,0.668202765,0.7528089888
3,Indiana,2,3,1,0.8818380744,0.8959731544,0.9433224756,0.6483693897,0.8389261745,0.9226190476,0.7614678899,0.9598108747,0.7031700288,0.9601181684,0.8125,0.805907173,0.8162162162,0.8770949721,0.8467153285,0.5408805031,0.6513761468,0.456,0.552,0.4358108108,0.56,0.8986175115,0.861423221
6,Duke,3,0,2,0.9113785558,0.9515819751,0.8954397394,0.5460122699,0.7718120805,0.8988095238,0.7431192661,0.8841607565,0.5936599424,0.8567208272,0.5,0.3755274262,0.7675675676,0.7988826816,0.6861313869,0.6100628931,0.8899082569,0.432,0.6873846154,0.4222972973,0.8,0.6589861751,0.6891385768
8,Ohio State,3,1,2,0.8577680525,0.9410354746,0.6697068404,0.7365192121,0.6308724832,0.6428571429,0.6009174312,0.7848699764,0.7002881844,0.8493353028,0.6666666667,0.4725738397,0.5891891892,0.6033519553,0.7226277372,0.3647798742,0.8990825688,0.472,0.6769230769,0.4054054054,0.77,0.4838709677,0.7865168539
7,Georgetown,0,2,2,0.8544857768,0.8581016299,0.4889250814,0.8314497901,0.644295302,0.625,0.4678899083,0.621749409,0.7867435159,0.7917282127,0.5572916667,0.4430379747,0.6162162162,0.6033519553,0.8832116788,0.2452830189,0.5321100917,0.56,0.5741538462,0.7837837838,0.62,0.4792626728,0.6966292135
5,Miami (FL),2,3,2,0.8818380744,0.8720038351,0.6517915309,0.6977720375,0.6577181208,0.6785714286,0.4908256881,0.7754137116,0.6340057637,0.8094534712,0.6458333333,0.4514767932,0.6594594595,0.6424581006,0.7737226277,0.3459119497,0.8532110092,0.304,0.5655384615,0.152027027,0.54,0.4147465438,0.8876404494
11,Michigan St,2,0,3,0.8205689278,1,0.596742671,0.7442686471,0.6845637584,0.5357142857,0.628440367,0.695035461,0.7175792507,0.8020679468,0.8125,0.6962025316,0.5837837838,0.6089385475,0.8321167883,0.3899371069,0.5137614679,0.36,0.4116923077,0.4256756757,0.43,0.5437788018,0.7790262172
9,New Mexico,0,1,3,0.9070021882,0.8120805369,0.5736156352,0.6961575718,0.4429530201,0.6130952381,0.6605504587,0.6524822695,0.6685878963,0.7503692762,0.609375,0.3966244726,0.4702702703,0.5586592179,0.7591240876,0.3899371069,0.7339449541,0.384,0.5593846154,0.8344594595,0.72,0.8433179724,0.9288389513
10,Florida,3,2,3,0.8577680525,0.8216682646,0.7078175896,0.8979657733,0.8120805369,0.7738095238,0.4587155963,0.8936170213,0.8616714697,1,0.7135416667,0.5696202532,0.8378378378,0.782122905,0.9197080292,0.2767295597,0.7889908257,0.584,0.6849230769,0.5135135135,0.81,0.2949308756,0.8464419476
