Rank,Name,Region,Seed,Win Loss Pct,Scoring Offense,Scoring Defense,Scoring Margin,FG Pct,FG Pct Defense,3pt FG per Game,3pt FG Pct,3pt FG Defense,Free Throw Pct,Rebound Margin,Assists per Game,Assist Turnover Ratio,Blocked Shots per Game,Steals per Game,Turnovers per Game,Turnover Margin,Person Fouls per Game
1,Louisville,3,1,85.3,73.6,58,15.6,44.5,38.8,5.8,33.1,31.2,71.1,3.6,15,1.18,4.2,10.7,12.7,6,17.7
2,Kansas,0,1,85.3,75.4,61.5,13.9,48,36,6,36.7,30.7,73.3,6.6,15.6,1.14,6.6,7.2,13.7,-0.8,17
3,Indiana,1,1,81.8,80,62.5,17.5,48.6,39,7.3,41.1,30.6,74.5,7.7,14.5,1.12,3.7,7.5,13,1.4,17.1
4,Gonzaga,2,1,93.9,77.6,59.4,18.2,50.4,38.2,6.4,37.1,32,70.7,7.4,15.2,1.36,2.8,8,11.2,2.6,15.7
5,Miami (FL),1,2,81.8,69.9,60.7,9.2,46,39.9,6.8,35.8,32.6,67.7,3.2,11.3,1.03,4.5,6.3,10.9,1,14.7
6,Duke,3,2,84.4,78.3,65.4,12.9,47.6,41.8,7.8,40.6,29.3,73.2,-1.2,14.7,1.37,3.8,6.5,10.7,3.7,17.7
7,Georgetown,0,2,80.6,64.6,55.7,8.8,45.6,37.6,5.9,35.8,30.5,68,1.2,14.8,1.17,3.8,7.5,12.7,1.5,16.9
8,Ohio St.,2,2,78.8,69.2,57.9,11.3,45.4,39.5,6,35.1,32,69.3,3.7,13.3,1.26,4.3,6.8,10.6,2.6,15.5
9,New Mexico,2,3,85.3,67.4,60.4,7.1,42.5,38.8,6.4,35.4,34.3,72.2,2.1,14.6,1.27,3.9,6.1,11.5,1.2,15.4
10,Florida,0,3,78.8,71.6,53.7,17.9,48.1,37.7,8.4,38,30.1,68.1,4.8,14.8,1.33,3.3,7,11.1,2.9,14.1
11,Michigan St.,3,3,75.8,68.2,59.3,9,46,39.4,5,0,30.1,71.7,6.7,13.3,0.99,3.8,8.1,13.4,-0.7,15.9
12,Marquette,1,3,74.2,69,62.7,6.3,46.7,40.5,4.3,0,31.8,72.3,4.4,14.4,1.05,3.4,6.7,13.6,-0.7,17
13,Michigan,0,4,78.8,75.2,62.9,12.2,48.4,41.9,7.5,38.3,33,70.7,2.9,14.3,1.55,2.8,6,9.2,2.9,13
