Rank,Name,Games Won,Region,Seed,S.o.S.,Win %,Scoring Margin,Scoring Off.,Scoring Def.,FG %,FG % Def.,3pt FG %,3pt FG % Def.,Free Throw %,FT Att. / Game,Rebound Margin,Off. Reb. / Game,Def. Reb. / Game,Assists /  Turnover,Assists / Game,Turnover Margin,Turnovers / Game,Blocks / Game,Steals / Game,Fouls / Game
1,Kentucky,0,3,1,0.7331,1,1,0.6207,0.9552,0.5524,1,0.4215,0.9535,0.462,0.0000,0.1317,0.6436,0.6421,0.6082,0.6712,0.621,0.5325,0.9344,0.3902,0.6117
2,Virginia,0,1,1,0.7735,0.9537,0.7581,0.2759,1,0.5455,0.8468,0.562,0.6822,0.6608,0.0000,0.1427,0.3784,0.8079,0.7732,0.411,0.4274,0.8312,0.5082,0.1585,0.8738
3,Duke,0,0,1,0.7758,0.8678,0.7419,0.9507,0.3677,0.7902,0.2742,0.7025,0.5349,0.4503,0.0000,0.1256,0.5395,0.6842,0.6186,0.6986,0.4194,0.5065,0.377,0.3902,0.699
4,Wisconsin,0,2,1,0.6861,0.9119,0.8266,0.6108,0.7713,0.6993,0.4032,0.4959,0.2558,0.7778,0.0000,0.1186,0.2673,0.5211,0.9588,0.3151,0.5806,1,0.3443,0.122,1
5,Gonzaga,0,2,2,0.5376,0.9593,0.9234,0.9261,0.5919,1,0.6532,0.843,0.6124,0.4444,0.0000,0.1417,0.3814,0.9263,0.7938,0.8904,0.4194,0.5584,0.2951,0.3171,0.6311
6,Villanova,0,1,2,0.7119,0.9119,0.6855,0.665,0.5695,0.5594,0.4677,0.6281,0.6822,0.5029,0.0000,0.0754,0.3634,0.4526,0.5979,0.6986,0.5968,0.4935,0.4426,0.5,0.6408
7,Kansas,0,0,2,1,0.8238,0.4435,0.5517,0.3991,0.4126,0.5323,0.9091,0.5736,0.5029,0.0000,0.1065,0.5556,0.7579,0.3814,0.5616,0.2339,0.3377,0.5902,0.3293,0.6019
8,Arizona,0,3,2,0.6546,0.8678,0.7903,0.734,0.6188,0.7902,0.4919,0.5041,0.4806,0.3743,0.0000,0.1347,0.3353,0.7105,0.4227,0.4795,0.5645,0.4545,0.3279,0.439,0.5243
9,Oklahoma,0,1,3,0.7669,0.6476,0.5605,0.5616,0.5202,0.4545,0.7339,0.4132,0.6667,0.6023,0.0000,0.0633,0.3634,0.9684,0.2577,0.3699,0.4355,0.3117,0.7049,0.4024,0.6699
10,Louisville,0,3,3,0.6903,0.7797,0.629,0.5222,0.6323,0.3497,0.6935,0.0744,0.7519,0.3099,0.0000,0.0915,0.6116,0.7737,0.2062,0.1781,0.5645,0.4286,0.7377,0.5732,0.5146
11,North Carolina,0,2,3,0.8205,0.6916,0.5403,0.8719,0.2152,0.6014,0.5645,0.2727,0.8062,0.4094,0.0000,1,0.8118,0.9053,0.6082,1,0.2984,0.2987,0.5082,0.3415,0.3495
12,Utah,0,0,3,0.656,0.8161,0.8427,0.6552,0.7489,0.7902,0.6694,0.9256,0.5349,0.4211,0.0000,0.1106,0.2242,0.775,0.5464,0.6438,0.4113,0.4805,0.5738,0.3293,0.6602
13,Iowa St.,0,3,4,0.7303,0.7247,0.5726,0.936,0.1928,0.7483,0.3548,0.5207,0.3643,0.3918,0.0000,0.0784,0.2573,0.8526,0.732,0.9726,0.4597,0.4545,0.3934,0.2927,0.767
14,Baylor,0,2,4,0.8064,0.6916,0.5202,0.4335,0.5919,0.3357,0.5403,0.6116,0.7132,0.2982,0.0000,0.1528,0.8519,0.6579,0.4021,0.6438,0.2581,0.2987,0.459,0.4146,0.6408
15,Maryland,0,0,4,0.6673,0.7885,0.3871,0.4828,0.3946,0.3846,0.4839,0.6529,0.5426,0.7076,0.0000,0.0784,0.2262,0.7776,0.1237,0.1096,0.2661,0.3636,0.4918,0.1585,0.6796
16,Notre Dame,0,1,4,0.4718,0,0.6976,0.8966,0.3677,0.8951,0.3226,0.8595,0.3333,0.4854,0.0000,0.0673,0.1882,0.5947,0.8969,0.6575,0.5,0.7662,0.377,0.3293,0.932
17,Oklahoma St.,0,0,5,0.7359,0.6476,0.4153,0.335,0.5695,0.3706,0.5403,0.2893,0.5736,0.5614,0.0000,0.0503,0.2472,0.5053,0.1753,0.1918,0.5,0.3636,0.6066,0.5854,0.4854
18,Butler,0,3,5,0.7171,0.6916,0.5323,0.5222,0.5291,0.4126,0.4274,0.4545,0.7364,0.3392,0.0000,0.1156,0.5676,0.5368,0.299,0.2055,0.5,0.5325,0.2623,0.3415,0.5534
19,Providence,0,1,5,0.7655,0.6608,0.3105,0.4384,0.3543,0.4196,0.3145,0.1405,0.6047,0.4327,0.0000,0.0854,0.4845,0.4329,0.4227,0.5342,0.4194,0.4156,0.5902,0.4146,0.466
