Rank,Name,Games Won,Region,Seed,S.o.S.,Win Pct.,Scoring Margin,Scoring Off.,Scoring Def.,FG Pct.,FG Pct. Def.,3pt FG Pct.,3pt FG Pct. Def.,Free Throw Pct.,FT Att. / Game,Rebound Margin,Off. Reb. / Game,Def. Reb. / Game,Assists /  Turnover,Assists / Game,Turnover Margin,Turnovers / Game,Blocks / Game,Steals / Game,Fouls / Game
36,Arizona,0,0,6,0.6934,0.8594,0.9099,0.8385,0.7155,0.8844,0.6806,0.6738,0.6846,0.7231,0.7698,0.9915,0.4932,0.9635,0.5055,0.5333,0.4000,0.4938,0.5614,0.2778,0.6923
188,Austin Peay,0,0,16,0.4354,0.5828,0.4565,0.6118,0.4868,0.6054,0.3819,0.4278,0.3154,0.4513,0.6968,0.6255,0.5648,0.5326,0.3420,0.3833,0.4917,0.3827,0.2807,0.5972,0.7692
75,Baylor,0,1,5,0.8659,0.7562,0.7658,0.7422,0.6657,0.7415,0.4514,0.6471,0.4094,0.8103,0.5548,0.8681,0.7112,0.4128,0.8214,0.8833,0.6000,0.5679,0.4561,0.7361,0.6044
130,Buffalo,0,0,14,0.7039,0.6667,0.5255,0.6491,0.5191,0.4626,0.5903,0.3743,0.6174,0.6615,0.7338,0.6128,0.5870,0.6589,0.3022,0.3333,0.4667,0.3704,0.3684,0.5972,0.3187
69,Butler,1,3,9,0.7131,0.7676,0.8198,0.8012,0.6628,0.7279,0.6319,0.6898,0.5973,0.8154,0.5755,0.6851,0.5373,0.5529,0.7271,0.5000,0.7333,0.8395,0.3509,0.5417,0.4615
58,California,0,0,4,0.9044,0.7902,0.7297,0.6211,0.7449,0.7347,0.8542,0.6310,0.5436,0.3795,0.6042,0.8043,0.5009,0.8222,0.4336,0.3917,0.2167,0.5556,0.6316,0.1528,0.3736
3,Chattanooga,0,2,12,0.4659,0.9671,0.8108,0.6925,0.7566,0.7347,0.5903,0.6845,0.6846,0.7590,0.5604,0.6723,0.4321,0.5783,0.5631,0.5500,0.6333,0.5679,0.5614,0.6944,0.8132
65,Cincinnati,0,1,9,0.6585,0.7800,0.8559,0.5901,0.8974,0.5170,0.8611,0.5401,0.4765,0.6205,0.3677,0.7149,0.6607,0.5843,0.7151,0.6167,0.7500,0.7037,0.7368,0.7500,0.9451
76,Colorado,0,0,8,0.8288,0.7562,0.6787,0.6957,0.6246,0.4966,0.6597,0.7807,0.4966,0.7744,0.6770,0.9149,0.6667,0.9489,0.3709,0.4333,0.2417,0.3704,0.6667,0.2778,0.6593
41,CSU Bakersfield,0,1,15,0.2428,0.8503,0.7387,0.5497,0.8211,0.6054,0.7847,0.4439,0.6779,0.3641,0.4699,0.7191,0.6211,0.5907,0.5889,0.5833,0.6750,0.5679,0.6667,0.6250,0.3297
26,Dayton,0,3,7,0.7965,0.8855,0.7718,0.5901,0.8152,0.7415,0.7500,0.5722,0.5034,0.4462,0.5445,0.7532,0.4072,0.8340,0.5179,0.5500,0.4250,0.4938,0.5789,0.4028,0.6154
59,Duke,2,1,4,0.9358,0.7902,0.8529,0.8727,0.6276,0.7551,0.5208,0.7594,0.5973,0.7231,0.6673,0.6043,0.5839,0.5302,0.6648,0.4000,0.6333,0.8765,0.5789,0.4028,0.8681
151,F. Dickinson,-1,2,16,0.2969,0.6383,0.4414,0.7019,0.3871,0.6871,0.3542,0.5615,0.3893,0.6256,0.4103,0.2681,0.4410,0.2348,0.4425,0.4750,0.7333,0.4568,0.2281,0.7222,0.2637
117,FGCU,0,2,16,0.3769,0.6871,0.6727,0.6832,0.6305,0.7415,0.6806,0.5508,0.8523,0.3385,0.4922,0.6894,0.5590,0.8561,0.4592,0.4250,0.4917,0.5556,0.4561,0.5000,0.5604
46,Fresno St.,0,3,14,0.5620,0.8333,0.6126,0.5963,0.6540,0.4490,0.6806,0.4973,0.6846,0.4923,0.5847,0.6085,0.6242,0.6324,0.5168,0.3833,0.7917,0.7037,0.4561,0.6944,0.2198
18,Gonzaga,2,3,11,0.5904,0.8934,0.9189,0.7702,0.7889,0.8503,0.7917,0.7273,1.0000,0.8615,0.3942,0.8468,0.4603,0.9672,0.5771,0.4750,0.3833,0.6790,0.2456,0.2778,0.7692
80,Green Bay,0,1,14,0.4384,0.7449,0.5736,0.9348,0.2962,0.5986,0.3681,0.5615,0.4295,0.3487,0.8958,0.4043,0.6098,0.6208,0.4720,0.4417,0.8667,0.5556,0.5614,0.9444,0.3846
71,Hampton,0,3,16,0.2301,0.7676,0.4595,0.5870,0.5132,0.2993,0.6389,0.2727,0.7450,0.2718,0.7298,0.6596,0.7508,0.7653,0.2621,0.2750,0.3833,0.3704,0.4561,0.4167,0.3516
6,Hawaii,1,0,13,0.3755,0.9569,0.8619,0.7267,0.7742,0.6871,0.8194,0.4225,0.7181,0.4462,0.7895,0.7277,0.4816,0.6996,0.5825,0.6167,0.6833,0.5185,0.4211,0.6944,0.4505
