Rank,Name,Games Won,Region,Seed,S.o.S.,Win Pct.,Scoring Margin,Scoring Off.,Scoring Def.,FG Pct.,FG Pct. Def.,3pt FG Pct.,3pt FG Pct. Def.,Free Throw Pct.,FT Att. / Game,Rebound Margin,Off. Reb. / Game,Def. Reb. / Game,Assists / Turnover,Assists / Game,Turnover Margin,Turnovers / Game,Blocks / Game,Steals / Game,Fouls / Game
13,St. Mary's (CA),0,0,6,0.7,0.844,0.676,0.227,0.947,0.745,0.604,0.72,0.897,0.641,0.06,0.853,0.319,0.452,0.714,0.529,0.167,0.868,0.17,0.014,0.773
14,Purdue,0,0,5,0.723,0.629,0.571,0.563,0.471,0.582,0.577,0.818,0.609,0.785,0.533,0.711,0.312,0.693,0.524,0.663,0.183,0.539,0.043,0.159,0.773
144,South Dakota,0,2,15,0.423,0.359,0.202,0.457,0.181,0.264,0.432,0.326,0.092,0.431,0.962,0.436,0.378,0.605,0.171,0.096,0.408,0.684,0.255,0.377,0.364
54,Seton Hall,0,2,10,0.648,0.311,0.154,0.287,0.313,0.327,0.396,0.288,0.483,0.039,0.737,0.681,0.684,0.517,0.057,0.106,0.158,0.461,0.021,0.435,0.636
64,Princeton,0,1,13,0.622,0.565,0.457,0.223,0.709,0.345,0.532,0.652,0.506,0.569,0.007,0.368,0.118,0.36,0.543,0.298,0.558,0.921,0.149,0.42,0.909
159,Jacksonville St.,0,2,16,0.281,0.13,0.109,0.126,0.441,0.373,0.559,0.561,0.046,0.464,0.418,0.564,0.368,0.419,0.171,0.269,0.05,0.461,0.298,0.087,0.0
1,Gonzaga,0,1,1,0.655,1.0,1.0,0.753,0.727,0.918,1.0,0.629,0.989,0.586,0.73,0.755,0.297,1.0,0.543,0.481,0.367,0.737,0.447,0.464,0.545
121,UNCG,0,3,15,0.393,0.519,0.296,0.344,0.41,0.445,0.495,0.682,0.264,0.436,0.308,0.564,0.509,0.289,0.219,0.356,0.275,0.434,0.319,0.435,0.545
12,SMU,0,1,5,0.596,0.778,0.64,0.324,0.802,0.491,0.829,0.795,0.667,0.354,0.518,0.843,0.606,0.529,0.657,0.5,0.358,0.842,0.234,0.275,0.864
23,Butler,0,1,3,0.929,0.54,0.36,0.417,0.396,0.573,0.306,0.53,0.517,0.624,0.556,0.402,0.196,0.183,0.448,0.192,0.542,0.921,0.106,0.304,0.682
183,Green Bay,0,0,15,0.386,0.114,0.15,0.547,0.026,0.236,0.423,0.22,0.287,0.337,0.892,0.456,0.579,0.794,0.133,0.24,0.358,0.408,0.404,0.536,0.636
25,Michigan,0,3,9,0.787,0.261,0.389,0.324,0.524,0.582,0.108,0.667,0.0,0.79,0.252,0.284,0.074,0.0,0.581,0.24,0.55,1.0,0.106,0.261,0.636
136,UC Irvine,0,1,15,0.644,0.144,0.259,0.162,0.564,0.273,0.865,0.5,0.793,0.326,0.32,0.725,0.464,0.76,0.114,0.163,0.017,0.474,0.404,0.145,0.318
110,CSU Bakersfield,0,0,14,0.532,0.442,0.389,0.186,0.678,0.291,0.937,0.326,0.632,0.0,0.563,0.598,0.637,0.471,0.143,0.346,0.425,0.289,0.362,0.638,0.5
19,Oklahoma St.,0,0,7,0.846,0.261,0.348,0.769,0.0,0.464,0.081,0.795,0.31,0.878,0.865,0.534,0.736,0.143,0.238,0.337,0.433,0.474,0.149,0.551,0.136
24,Iowa St.,0,1,6,0.772,0.311,0.372,0.559,0.251,0.418,0.45,0.765,0.322,0.387,0.279,0.167,0.288,0.398,0.676,0.442,0.667,0.908,0.234,0.594,0.773
81,Bucknell,0,1,14,0.498,0.519,0.368,0.377,0.449,0.591,0.468,0.614,0.425,0.282,0.617,0.412,0.167,0.431,0.2,0.298,0.308,0.474,0.319,0.478,0.818
29,South Carolina,0,0,8,0.76,0.41,0.356,0.247,0.577,0.0,0.73,0.326,1.0,0.365,0.796,0.431,0.643,0.233,0.095,0.144,0.592,0.474,0.34,0.565,0.273
20,Cincinnati,0,3,5,0.719,0.778,0.611,0.328,0.767,0.4,0.874,0.371,0.517,0.227,0.396,0.588,0.588,0.362,0.714,0.5,0.575,0.895,0.66,0.522,0.955
37,Northwestern,0,2,8,0.697,0.334,0.287,0.194,0.559,0.136,0.712,0.295,0.621,0.674,0.358,0.387,0.439,0.443,0.619,0.404,0.408,0.895,0.638,0.159,0.318
49,Illinois St.,0,0,11,0.524,0.657,0.34,0.089,0.731,0.2,0.901,0.492,0.678,0.182,0.298,0.495,0.391,0.515,0.219,0.212,0.292,0.605,0.532,0.464,0.636
11,Baylor,0,2,2,0.966,0.629,0.449,0.259,0.665,0.509,0.739,0.455,0.747,0.514,0.449,0.794,0.65,0.39,0.295,0.413,0.083,0.487,0.553,0.159,0.727
18,Florida St.,0,2,3,0.801,0.556,0.502,0.664,0.282,0.627,0.595,0.477,0.46,0.337,0.801,0.495,0.524,0.432,0.41,0.346,0.5,0.711,0.617,0.478,0.818
178,N.C. Central,0,3,16,0.0,0.462,0.449,0.328,0.595,0.373,0.73,0.311,0.954,0.282,0.504,0.485,0.523,0.553,0.267,0.269,0.367,0.618,0.255,0.275,0.636
9,Kansas,0,0,1,0.794,0.851,0.462,0.652,0.247,0.655,0.541,0.833,0.253,0.177,0.698,0.574,0.583,0.56,0.381,0.481,0.3,0.539,0.489,0.435,0.318
203,Texas Southern,0,0,16,0.472,0.261,0.113,0.344,0.207,0.136,0.225,0.0,0.563,0.591,0.968,0.27,0.543,0.157,0.19,0.048,0.442,0.763,0.17,0.406,0.273
27,Creighton,0,3,7,0.652,0.483,0.449,0.684,0.207,0.873,0.369,0.795,0.517,0.331,0.266,0.324,0.13,0.565,0.562,0.615,0.4,0.632,0.149,0.333,0.909
6,Florida,0,2,4,0.888,0.556,0.526,0.494,0.493,0.336,0.631,0.515,0.885,0.547,0.855,0.461,0.521,0.421,0.219,0.144,0.533,0.684,0.553,0.522,0.682
7,Kentucky,0,3,2,0.861,0.705,0.619,0.818,0.242,0.564,0.459,0.409,0.77,0.398,1.0,0.642,0.65,0.651,0.476,0.462,0.5,0.671,0.66,0.29,0.636
17,Oregon,0,1,2,0.738,0.778,0.611,0.51,0.568,0.618,0.712,0.636,0.839,0.431,0.507,0.554,0.394,0.452,0.543,0.538,0.442,0.671,0.957,0.377,0.773
39,Arkansas,0,1,9,0.749,0.483,0.283,0.567,0.15,0.445,0.486,0.538,0.483,0.724,0.841,0.402,0.506,0.344,0.362,0.298,0.375,0.711,0.511,0.493,0.636
52,Middle Tenn.,0,2,11,0.603,0.778,0.474,0.308,0.639,0.645,0.505,0.5,0.678,0.381,0.25,0.627,0.327,0.404,0.552,0.365,0.5,0.868,0.106,0.406,0.909
