Rank,Name,Games Won,Region,Seed,Win/Loss %,SOS,Points / Gm,Opp Points / Gm,FG %,3 Pt FG %,FT %,Offense Rating,Opp. Offense Rating,Adj. Scoring Margin,True Rebound %,Offensive Rebound %,Effective FG %,True Shooting %,Opp. True Shooting %,Pace,Turnover %,Opp. Turnover %,Turnover Margin,Assist %,Assists / Turnover Ratio,Free Throws / Feild Goal Attempt,Opp. Free Throws / Feild Goal Attempt
1,Virginia,,0,1,1,0.8828867761,0.2855035042,1,0.6624203822,0.6903225806,0.7824074074,0.7014084507,0.9909638554,0.9570093458,0.5838926174,0.4019138756,0.591160221,0.5555555556,0.9722222222,0,0.9411764706,0.5859375,0.885911841,0.5868263473,0.8389830508,0.15,0.91
2,Kansas,,1,1,0.8503480278,0.9930855661,0.821468093,0.5646401118,0.8789808917,0.7677419355,0.5,0.8535211268,0.5451807229,0.7813084112,0.4899328859,0.4784688995,0.8563535912,0.7666666667,0.6527777778,0.417721519,0.7647058824,0.328125,0.6404494382,0.6497005988,0.7966101695,0.175,0.87
3,Villanova,,2,1,0.9280742459,0.9213483146,1,0.5583508036,0.9171974522,0.7290322581,0.7824074074,1,0.5753012048,0.8971962617,0.5973154362,0.4449760766,0.9337016575,0.8833333333,0.5694444444,0.4345991561,0.9294117647,0.3671875,0.7554019015,0.5449101796,0.8813559322,0.3875,0.82
4,Xavier,,3,1,0.9280742459,0.9472774417,0.9383991147,0.4588865595,0.8853503185,0.6129032258,0.875,0.8591549296,0.4668674699,0.7364485981,0.8187919463,0.5454545455,0.773480663,0.8166666667,0.4930555556,0.5021097046,0.6705882353,0.1796875,0.4157303371,0.6586826347,0.6694915254,0.98125,0.83
5,Purdue,,0,2,0.8955916473,0.863872083,0.8096643305,0.7027719543,0.872611465,0.9096774194,0.712962963,0.9126760563,0.7379518072,0.9401869159,0.6241610738,0.4162679426,0.8563535912,0.8333333333,0.8055555556,0.3417721519,0.8235294118,0.3203125,0.6525496975,0.745508982,0.8813559322,0.675,0.985
6,UNC,,1,2,0.7726218097,1,0.8793803025,0.4901001631,0.7006369427,0.6193548387,0.662037037,0.8309859155,0.4909638554,0.7327102804,0.9932885906,0.956937799,0.6022099448,0.5722222222,0.5277777778,0.4852320675,0.7882352941,0.1953125,0.4442523768,0.7125748503,0.7796610169,0.325,0.91
7,Duke,,2,2,0.8503480278,0.9109766638,0.9483585393,0.5925925926,0.8662420382,0.6451612903,0.5555555556,0.9492957746,0.6325301205,0.8990654206,0.9261744966,1,0.7569060773,0.7166666667,0.7847222222,0.4430379747,0.7176470588,0.21875,0.4589455488,0.6586826347,0.7203389831,0.575,0.905
8,Michigan St,,3,2,0.969837587,0.8033707865,0.824050166,0.7095271372,0.9681528662,0.9096774194,0.7083333333,0.9211267606,0.7560240964,0.9570093458,1,0.8373205742,0.8895027624,0.8666666667,1,0.3502109705,0.4705882353,0.0703125,0.2091616249,1,0.7796610169,0.75,0.705
9,Tennessee,,0,3,0.8027842227,0.9667242869,0.549612689,0.6659678546,0.5350318471,0.6516129032,0.7407407407,0.6366197183,0.656626506,0.7065420561,0.5637583893,0.6555023923,0.4751381215,0.5111111111,0.6805555556,0.3164556962,0.6117647059,0.4765625,0.6482281763,0.8263473054,0.6186440678,0.70625,0.41
10,Auburn,,1,3,0.8503480278,0.831028522,0.9015123571,0.5101327743,0.5477707006,0.5935483871,0.8981481481,0.8028169014,0.5722891566,0.7644859813,0.6711409396,0.7129186603,0.5414364641,0.6222222222,0.4930555556,0.5443037975,0.7529411765,0.4921875,0.7294727744,0.5389221557,0.5338983051,0.95625,0.375
