Rank,Name,Games Won,Region,Seed,Win %,SoS,Pts / Game,Opp Pts / Game,FG %,3Pt FG %,Free Throw %,Offense Rating,Defense Rating,Adj. Score Margin,Rebound %,Off. Rebound %,Effective FG %,True Shooting %,Opp. True Shoot %,Pace,Turnover %,Opp. Turnover %,Turnover Margin,Assist %,Assists / Turnover,FT / FGA,Opp. FT / FGA
1,Virginia,0,0,1,1,0.889023406,0.2676426426,1,0.6558441558,0.7161290323,0.7438423645,0.6840659341,0.9390243902,0.932038835,0.6013513514,0.4174757282,0.5754189944,0.5449438202,0.9230769231,0,0.9770114943,0.5409836066,0.887477314,0.6121212121,0.8387096774,0.1739130435,0.7989949749
2,Xavier,1,1,1,0.8923076923,0.895480226,0.8952702703,0.4738023952,0.8506493506,0.5806451613,0.9014778325,0.8049450549,0.5030487805,0.7398058252,0.8445945946,0.5485436893,0.7318435754,0.7865168539,0.5174825175,0.5021645022,0.6666666667,0.1721311475,0.4147005445,0.6939393939,0.6290322581,0.9813664596,0.8291457286
3,Villanova,2,2,1,0.9325443787,0.8821630347,1,0.5636227545,0.9350649351,0.7677419355,0.8078817734,1,0.5731707317,0.9223300971,0.6418918919,0.4951456311,0.9553072626,0.9101123596,0.5594405594,0.4199134199,0.9195402299,0.3606557377,0.7595281307,0.5757575758,0.8467741935,0.3788819876,0.7989949749
4,Kansas,2,3,1,0.8284023669,0.9596448749,0.7912912913,0.5621257485,0.8961038961,0.8,0.4630541872,0.8214285714,0.5365853659,0.772815534,0.5,0.5048543689,0.8659217877,0.7752808989,0.6363636364,0.4155844156,0.724137931,0.3360655738,0.6306715064,0.6575757576,0.7258064516,0.149068323,0.864321608
5,Cincinnati,1,0,2,0.9289940828,0.6246973366,0.5484234234,0.9046906188,0.6038961039,0.5096774194,0.3990147783,0.7252747253,1,1,0.8648648649,0.9563106796,0.5083798883,0.4831460674,1,0.2640692641,0.7586206897,0.6229508197,0.8266787659,0.8060606061,0.6935483871,0.5714285714,0.8190954774
6,UNC,1,1,2,0.7337278107,1,0.8089339339,0.5079840319,0.6493506494,0.5483870968,0.6600985222,0.771978022,0.5091463415,0.7203883495,0.9459459459,0.9563106796,0.5418994413,0.5224719101,0.5664335664,0.4718614719,0.7931034483,0.2049180328,0.4691470054,0.7909090909,0.7661290323,0.3229813665,0.8793969849
7,Purdue,2,2,2,0.8639053254,0.8470540759,0.7781531532,0.6941117764,0.8896103896,0.9096774194,0.6699507389,0.8873626374,0.6951219512,0.9203883495,0.6216216216,0.432038835,0.8659217877,0.8426966292,0.7832167832,0.3333333333,0.816091954,0.2950819672,0.6415607985,0.7454545455,0.8064516129,0.6708074534,0.9547738693
8,Duke,2,3,2,0.8213017751,0.8979015335,0.9114114114,0.5953093812,0.8636363636,0.6387096774,0.4975369458,0.8928571429,0.6432926829,0.8912621359,0.9189189189,1,0.748603352,0.7078651685,0.8041958042,0.4545454545,0.6896551724,0.2213114754,0.4555353902,0.6848484848,0.6693548387,0.5403726708,0.9447236181
9,Tennessee,1,0,3,0.8130177515,0.9249394673,0.5202702703,0.6838822355,0.525974026,0.6774193548,0.7290640394,0.6291208791,0.6585365854,0.7145631068,0.5878378378,0.6990291262,0.4636871508,0.5112359551,0.6783216783,0.303030303,0.632183908,0.4918032787,0.6751361162,0.8484848485,0.5887096774,0.7267080745,0.4120603015
10,Michigan,2,1,3,0.8355029586,0.8523002421,0.527027027,0.746756487,0.7207792208,0.5806451613,0.2561576355,0.7197802198,0.6920731707,0.8,0.5405405405,0.354368932,0.6983240223,0.606741573,0.6293706294,0.2164502165,0.9885057471,0.4426229508,0.8475499093,0.6121212121,0.8548387097,0.248447205,0.6884422111
11,Texas Tech,2,2,3,0.749112426,0.8619854722,0.5563063063,0.7178143713,0.6753246753,0.5612903226,0.4630541872,0.6318681319,0.7530487805,0.7766990291,0.7027027027,0.7087378641,0.5642458101,0.5617977528,0.6783216783,0.3376623377,0.5977011494,0.606557377,0.7504537205,0.5181818182,0.4193548387,0.7577639752,0.432160804
12,Michigan St,1,3,3,0.9289940828,0.7917675545,0.7713963964,0.7155688623,0.9350649351,0.864516129,0.7093596059,0.8736263736,0.737804878,0.9378640777,1,0.8495145631,0.8491620112,0.8314606742,0.965034965,0.3376623377,0.5057471264,0.06557377049,0.219600726,1,0.7338709677,0.6956521739,0.6984924623
13,Arizona,0,0,4,0.8284023669,0.7889426957,0.768018018,0.5561377246,0.9415584416,0.6322580645,0.7586206897,0.8159340659,0.506097561,0.7495145631,0.8918918919,0.7038834951,0.782122905,0.7865168539,0.5244755245,0.354978355,0.632183908,0.2459016393,0.4546279492,0.5515151515,0.5483870968,0.7826086957,0.5929648241
14,Gonzaga,2,1,4,0.9325443787,0.5807102502,0.9039039039,0.6574351297,0.9285714286,0.6129032258,0.5665024631,0.9230769231,0.7164634146,0.959223301,0.9324324324,0.6941747573,0.843575419,0.7865168539,0.7062937063,0.3896103896,0.816091954,0.3032786885,0.5989110708,0.4939393939,0.6693548387,0.397515528,0.7035175879
15,Wichita St,0,2,4,0.8130177515,0.7348668281,0.8475975976,0.5521457086,0.7662337662,0.6838709677,0.645320197,0.8653846154,0.5304878049,0.8,0.972972973,0.8106796117,0.7094972067,0.6966292135,0.5244755245,0.4069264069,0.7931034483,0.237704918,0.5108892922,0.8818181818,0.8387096774,0.6149068323,0.5527638191
16,Auburn,1,3,4,0.8130177515,0.7994350282,0.8618618619,0.502994012,0.512987013,0.5612903226,0.881773399,0.7445054945,0.5792682927,0.745631068,0.6486486486,0.6893203883,0.5139664804,0.595505618,0.4755244755,0.5627705628,0.7586206897,0.5245901639,0.780399274,0.5606060606,0.5,0.9565217391,0.3618090452
17,Kentucky,2,0,5,0.7136094675,0.9394673123,0.6122372372,0.5795908184,0.7077922078,0.5096774194,0.4236453202,0.6291208791,0.5701219512,0.6582524272,0.7297297297,0.8155339806,0.5027932961,0.5112359551,0.7132867133,0.4112554113,0.5862068966,0.237704918,0.4147005445,0.4575757576,0.3790322581,0.8447204969,0.6532663317
18,Ohio State,1,1,5,0.7763313609,0.8599677159,0.5777027027,0.6681636727,0.8116883117,0.4774193548,0.5862068966,0.6785714286,0.6402439024,0.7378640777,0.7702702703,0.5533980583,0.6592178771,0.6292134831,0.6363636364,0.303030303,0.6666666667,0.3360655738,0.55353902,0.5484848485,0.5564516129,0.4285714286,0.7386934673
