team,conf,dd,fgp,sm,sd,atr,tm,ftp,or,rm,seed,pr
Coast. Car.,1,3,43.8,4.3,68.4,0.75,-1,69.4,13,4.9,16,53
Delaware,1,5,44.6,4.4,75.1,1.13,2.3,70.9,11.12,-2.4,13,38
Eastern KY,1,2,49,8.4,70.9,1.38,6.3,75.1,7.12,-6.1,15,60
Harvard,1,5,46.7,13.1,60.5,1.27,3.2,72.6,10.6,3,12,5
Manhattan,1,3,45.1,7.4,70,0.93,1.6,66.2,12.75,1.4,13,55
Mercer,1,1,47.5,12.9,66.4,1.38,0.8,73.2,11.68,5.2,14,49
Milwaukee,1,4,43.3,0.5,70.5,1.01,-0.7,73.4,9.71,-1.5,15,58
N.C. Central,1,2,46.2,15.4,58.5,1.27,4.3,72.7,11.82,3.8,14,23
Tulsa,1,2,44.2,5.7,67.4,1.09,2.7,67.5,10.79,0.6,13,57
W. Michigan ,1,3,46.6,5.1,67.4,0.81,-1.4,72.4,9.84,2.4,14,59
Weber St.,1,3,48.1,6.7,66.4,1.08,-3.1,73.7,8.4,3.4,16,56
Wichita St.,1,4,45.9,15.9,59.6,1.3,1.9,73,11.88,7.8,1,4
New Mex,2,3,46,8.3,66.4,1.46,-0.7,72.7,10.64,5.4,7,27
San Diego St.,2,2,43.7,14,56.6,1.02,4.1,65.3,13.15,5,4,29
Cincinnati,4,2,42.7,10.4,58.3,1.15,3.2,70.9,13.36,4.4,5,33
Creighton,4,2,49.9,12.1,67.4,1.78,-0.1,75.2,8.45,2.7,3,39
Louisville,4,4,47.4,21.2,60.9,1.52,7.1,65.9,13.71,3,4,1
Memphis,4,3,47.9,7.2,70.4,1.29,1.2,64.9,12.63,2.7,8,44
Providence,4,4,42.5,3.7,69.5,1.17,-0.6,78.1,12.44,3.8,11,31
UConn,4,3,44.8,8.7,63.1,1.08,1.2,76.1,10.09,0.5,7,48
Villanova,4,3,45.9,11.9,66.6,1.32,2.1,71.3,11.28,3.8,2,26
Xavier,4,3,47.1,4.3,67.9,1.2,-1.1,68.8,11.15,4.3,12,46
Dayton,6,3,46.6,5.8,67.6,1.09,0.6,68.1,11.64,4.2,11,42
Duke,6,3,46.6,12.2,66.9,1.52,2.8,72.7,11.94,2,3,24
George Wash,6,5,46.4,6.5,66.9,1.08,0.4,65.4,11.81,3.7,9,17
Iowa,6,2,46.5,11.9,70.1,1.42,2.1,73.3,13.75,7.4,11,20
Michigan ,6,3,47.6,9,65.4,1.51,1.6,76.1,8.85,0.8,2,37
Michigan St.,6,4,47.5,10.6,65.3,1.49,0.8,69.3,11.06,5.1,4,9
