Rank,Name,Games Won,Region,Seed,Win %,SoS,Pts / Game,Opp Pts / Game,FG %,3Pt FG %,Free Throw %,Offense Rating,Defense Rating,Adj. Score Margin,Rebound %,Off. Rebound %,Effective FG %,True Shooting %,Opp. True Shoot %,Pace,Turnover %,Opp. Turnover %,Turnover Margin,Assist %,Assists / Turnover,FT / FGA,Opp. FT / FGA
3,Wichita St,1,3,1,1,0.5763157895,0.5698324022,0.8654119318,0.6641221374,0.5961538462,0.6526315789,0.8519736842,0.8921568627,0.9135338346,0.8521126761,0.6949152542,0.6037735849,0.6690140845,0.9160839161,0.3316326531,0.6990291262,0.4957983193,0.5913185913,0.5910780669,0.6287878788,0.686695279,0.7903225806
2,Arizona,3,2,1,0.8848283499,0.8964912281,0.4942490963,0.8980823864,0.7251908397,0.6794871795,0.3052631579,0.7269736842,0.9477124183,0.8740601504,0.838028169,0.75,0.5471698113,0.5070422535,0.993006993,0.3112244898,0.7378640777,0.5210084034,0.6339066339,0.6951672862,0.7575757576,0.3776824034,0.7258064516
1,Florida,4,0,1,0.9457364341,0.8745614035,0.3973052908,0.92578125,0.6564885496,0.6474358974,0.3526315789,0.6875,0.8954248366,0.8214285714,0.7464788732,0.6779661017,0.5786163522,0.5492957746,0.8531468531,0.25,0.6116504854,0.6890756303,0.6797706798,0.5576208178,0.5606060606,0.4334763948,0.8387096774
4,Virginia,2,1,1,0.8217054264,0.8447368421,0.274728886,1,0.6106870229,0.7115384615,0.3789473684,0.6118421053,0.9019607843,0.7819548872,0.8098591549,0.6144067797,0.4905660377,0.4788732394,0.9440559441,0.1326530612,0.6796116505,0.4705882353,0.5659295659,0.6579925651,0.6515151515,0.4334763948,0.8467741935
7,Kansas,1,0,2,0.7142857143,1,0.6947091686,0.4875710227,0.9083969466,0.5256410256,0.5789473684,0.7927631579,0.5784313725,0.6992481203,0.8661971831,0.7881355932,0.7044025157,0.7464788732,0.6713286713,0.5408163265,0.4368932039,0.3193277311,0.2964782965,0.5910780669,0.4924242424,0.6909871245,0.4677419355
5,Villanova,1,1,2,0.8682170543,0.8289473684,0.6618468616,0.6157670455,0.6259541985,0.6282051282,0.6052631579,0.7565789474,0.7385620915,0.7706766917,0.661971831,0.5889830508,0.6666666667,0.7042253521,0.7272727273,0.4897959184,0.572815534,0.5798319328,0.601965602,0.7881040892,0.6136363636,0.5836909871,0.6129032258
6,Michigan,3,3,2,0.7619047619,0.923245614,0.5297403878,0.6661931818,0.786259542,0.9230769231,0.8526315789,0.8980263158,0.5163398693,0.7236842105,0.485915493,0.4194915254,0.7987421384,0.8309859155,0.6013986014,0.2295918367,0.786407767,0.3697478992,0.5904995905,0.6208178439,0.8181818182,0.3605150215,0.9274193548
8,Wisconsin,4,2,2,0.7973421927,0.9469298246,0.5149523497,0.7045454545,0.6488549618,0.7564102564,0.7631578947,0.8388157895,0.6045751634,0.7406015038,0.5563380282,0.3983050847,0.6477987421,0.7112676056,0.7412587413,0.2704081633,0.932038835,0.243697479,0.5888615889,0.4312267658,0.7878787879,0.5836909871,0.9233870968
12,Iowa St,2,1,3,0.7851605759,0.9333333333,0.8281301347,0.3355823864,0.7633587786,0.641025641,0.4842105263,0.7796052632,0.5620915033,0.6823308271,0.5563380282,0.4279661017,0.7044025157,0.6690140845,0.6783216783,0.6989795918,0.7961165049,0.2857142857,0.5397215397,0.873605948,0.9545454545,0.3004291845,0.8064516129
11,Creighton,1,2,3,0.7774086379,0.8144736842,0.687150838,0.56640625,0.9389312977,1,0.7473684211,1,0.5,0.772556391,0.5985915493,0.3813559322,1,1,0.6503496503,0.3724489796,0.7281553398,0.2016806723,0.4438984439,0.9405204461,1,0.3004291845,0.7903225806
9,Duke,0,3,3,0.7464008859,0.8719298246,0.6769635228,0.5838068182,0.6564885496,0.8782051282,0.6736842105,0.9605263158,0.5424836601,0.7744360902,0.5845070423,0.6694915254,0.679245283,0.7042253521,0.5594405594,0.3826530612,0.8446601942,0.4789915966,0.6797706798,0.5910780669,0.8106060606,0.4334763948,0.5766129032
10,Syracuse,1,0,3,0.8361018826,0.8179824561,0.3332237923,0.8757102273,0.4809160305,0.4679487179,0.5631578947,0.7039473684,0.7189542484,0.7293233083,0.676056338,0.8220338983,0.3270440252,0.338028169,0.6853146853,0.1275510204,0.8446601942,0.7058823529,0.8116298116,0.3791821561,0.6287878788,0.3776824034,0.7258064516
15,UCLA,2,0,4,0.7619047619,0.8342105263,0.7666776208,0.4779829545,0.8778625954,0.7820512821,0.7789473684,0.8190789474,0.6339869281,0.7462406015,0.5633802817,0.4703389831,0.6981132075,0.7394366197,0.5734265734,0.612244898,0.786407767,0.6134453782,0.7846027846,0.7583643123,0.9090909091,0.4463519313,0.7419354839
13,Louisville,2,3,4,0.8516057586,0.7105263158,0.7624055209,0.8061079545,0.7404580153,0.7051282051,0.3157894737,0.8947368421,1,1,0.6267605634,0.7796610169,0.6603773585,0.6197183099,0.9020979021,0.5612244898,0.7766990291,0.9243697479,1,0.56133829,0.7348484848,0.3862660944,0.6612903226
14,Michigan St,3,1,4,0.7685492802,0.9114035088,0.5816628327,0.6495028409,0.7633587786,0.858974359,0.5578947368,0.7598684211,0.6830065359,0.7406015038,0.7394366197,0.5720338983,0.7232704403,0.6971830986,0.7202797203,0.4081632653,0.5922330097,0.4285714286,0.4938574939,0.8661710037,0.7575757576,0.2446351931,0.5282258065
16,SDSU,2,2,4,0.877076412,0.7131578947,0.4091357213,0.953125,0.465648855,0.641025641,0.3263157895,0.625,1,0.8458646617,0.7323943662,0.7627118644,0.320754717,0.3169014085,1,0.3010204082,0.786407767,0.6638655462,0.76003276,0.07063197026,0.3939393939,0.4978540773,0.8467741935
20,Oklahoma,0,2,5,0.6954595792,0.8934210526,0.7923102202,0.2784090909,0.5572519084,0.7756410256,0.7789473684,0.7467105263,0.4705882353,0.6109022556,0.5422535211,0.5805084746,0.5471698113,0.6056338028,0.5244755245,0.6989795918,0.7087378641,0.4201680672,0.5773955774,0.5278810409,0.6060606061,0.4849785408,0.6048387097
19,VCU,0,0,5,0.7464008859,0.7096491228,0.5632599408,0.6619318182,0.3511450382,0.5833333333,0.3842105263,0.4868421053,0.9117647059,0.7161654135,0.5211267606,0.6610169492,0.3081761006,0.2676056338,0.6783216783,0.6326530612,0.640776699,1,0.9557739558,0.405204461,0.4621212121,0.2360515021,0.6451612903
18,St Louis,1,3,5,0.8028792913,0.6859649123,0.3940190601,0.7787642045,0.534351145,0.3717948718,0.5052631579,0.4013157895,0.9281045752,0.6766917293,0.5492957746,0.4533898305,0.4025157233,0.4154929577,0.9160839161,0.4795918367,0.4466019417,0.6470588235,0.5831285831,0.7137546468,0.4848484848,0.4248927039,0.7338709677
17,Cincinnati,0,1,5,0.8028792913,0.7315789474,0.3466973382,0.9030539773,0.3893129771,0.4935897436,0.5631578947,0.5690789474,0.8921568627,0.7518796992,0.7042253521,0.8644067797,0.2955974843,0.3169014085,0.8741258741,0.2857142857,0.6213592233,0.7394957983,0.7133497133,0.5167286245,0.4924242424,0.3948497854,0.7338709677
21,UNC,1,1,6,0.7054263566,0.8692982456,0.6164968781,0.5,0.679389313,0.5,0.1315789474,0.6019736842,0.6633986928,0.6390977444,0.7183098592,0.8220338983,0.4339622642,0.3661971831,0.7132867133,0.612244898,0.6504854369,0.512605042,0.588042588,0.594795539,0.6136363636,0.3690987124,0.5927419355
