Rank,Name,Games Won,Region,Seed,Win %,SoS,Pts / Gm,Opp Pts / Gm,FG %,3Pt FG %,Free Throw %,Offense Rating,Defense Rating,Adj. Score Margin,Rebound %,Off. Rebound %,Effective FG %,True Shooting %,Opp. True Shoot %,Pace,Turnover %,Opp. Turnover %,Turnover Margin,Assist %,Assists / Turnover,FT / FGA,Opp. FT / FGA
1,Duke,,0,1,0.8982248521,0.9830718415,0.8305353183,0.6074120603,0.691011236,0.1586206897,0.4690265487,0.7098445596,0.8655737705,0.8226299694,0.7428571429,0.8836206897,0.6593406593,0.635359116,0.9166666667,0.6428571429,0.6930693069,0.5151515152,0.681509434,0.468852459,0.5391304348,0.5363128492,0.9511111111
2,Gonzaga,,1,1,0.9644970414,0.656895128,1,0.6859296482,1,0.5931034483,0.8097345133,1,0.8786885246,1,0.7714285714,0.6465517241,1,1,0.9318181818,0.5357142857,0.9108910891,0.4545454545,0.8060377358,0.5901639344,1,0.748603352,0.9111111111
3,Virginia,,2,1,0.9609467456,0.8781998348,0.4611973392,1,0.6966292135,0.8965517241,0.7168141593,0.8186528497,0.9147540984,0.9097859327,0.7357142857,0.6163793103,0.7857142857,0.773480663,1,0,0.9108910891,0.3636363636,0.7124528302,0.6131147541,0.8869565217,0.469273743,0.8844444444
4,UNC,,3,1,0.8568047337,0.9744013212,0.9116249604,0.4384422111,0.6179775281,0.5931034483,0.6991150442,0.7046632124,0.7278688525,0.755351682,0.9071428571,0.8103448276,0.6318681319,0.635359116,0.6363636364,0.7653061224,0.7326732673,0.4545454545,0.6437735849,0.7672131148,0.747826087,0.4860335196,0.8133333333
5,Michigan St,,0,2,0.8568047337,0.9653179191,0.6955970858,0.6658291457,0.7528089888,0.7172413793,0.7345132743,0.7538860104,0.7442622951,0.7920489297,0.9,0.8060344828,0.8021978022,0.8121546961,0.9696969697,0.3826530612,0.5643564356,0.09090909091,0.3713207547,1,0.7652173913,0.6815642458,0.8533333333
6,Michigan,,1,2,0.8923076923,0.9009083402,0.425087108,0.8963567839,0.5449438202,0.4965517241,0.4911504425,0.5829015544,0.9344262295,0.7798165138,0.4928571429,0.3879310345,0.5934065934,0.5524861878,0.9848484848,0.2244897959,0.9900990099,0.4242424242,0.8083018868,0.5147540984,0.852173913,0.2569832402,0.9688888889
7,Tennessee,,2,2,0.9289940828,0.8819157721,0.7934748179,0.5879396985,0.808988764,0.5448275862,0.7876106195,0.8186528497,0.6786885246,0.7996941896,0.65,0.7025862069,0.7747252747,0.7900552486,0.7651515152,0.4285714286,0.8316831683,0.404040404,0.7237735849,0.7704918033,0.9391304348,0.6424581006,0.7111111111
8,Kentucky,,3,2,0.8568047337,0.902146986,0.6160912258,0.6746231156,0.6966292135,0.5862068966,0.6902654867,0.7020725389,0.7114754098,0.74617737,0.9357142857,0.900862069,0.6538461538,0.7071823204,0.7196969697,0.3469387755,0.603960396,0.4141414141,0.559245283,0.4655737705,0.4434782609,0.9608938547,0.84
9,LSU,,0,3,0.850887574,0.8364987614,0.7633829585,0.4356155779,0.606741573,0.3034482759,0.7522123894,0.6943005181,0.5540983607,0.6681957187,0.7142857143,0.9353448276,0.5659340659,0.6243093923,0.4772727273,0.4795918367,0.6633663366,0.6060606061,0.7026415094,0.268852459,0.3565217391,0.7932960894,0.64
10,Texas Tech,,1,3,0.850887574,0.78447564,0.500791891,0.8674623116,0.6629213483,0.6137931034,0.6371681416,0.5699481865,1,0.8027522936,0.5714285714,0.5560344828,0.6758241758,0.679558011,0.9242424242,0.3367346939,0.5841584158,0.8080808081,0.8135849057,0.4393442623,0.4260869565,0.5698324022,0.5333333333
