Rank,Name,Games Won,Region,Seed,Win %,SoS,Pts / Gm,Opp Pts / Gm,FG %,3Pt FG %,Free Throw %,Offense Rating,Defense Rating,Adj. Score Margin,Rebound %,Off. Rebound %,Effective FG %,True Shooting %,Opp. True Shoot %,Pace,Turnover %,Opp. Turnover %,Turnover Margin,Assist %,Assists / Turnover,FT / FGA,Opp. FT / FGA
1,Stanford,6,0,1,0.9394,0.6521,0.7090,0.8690,0.7692,0.8873,0.6320,0.8480,0.8512,0.9410,0.8224,0.8531,0.7618,0.7148,0.9846,0.3202,0.7620,0.4638,0.6263,0.5120,0.6822,0.3154,0.7028
2,S Carolina,4,1,1,0.8387,0.9864,0.6630,0.7284,0.6394,0.6667,0.5449,0.6891,0.7937,0.8036,0.8797,0.8146,0.5062,0.5193,0.9247,0.4781,0.7058,0.3755,0.5014,0.2745,0.3866,0.6183,0.8679
3,UConn,4,2,1,0.9333,0.6654,0.8009,0.9042,0.9952,0.7653,0.6292,0.8636,0.9556,1.0000,0.8511,0.7104,0.8915,0.8507,1.0000,0.4386,0.6610,0.6110,0.6618,0.7242,0.7837,0.4440,0.9481
4,NC St,2,3,1,0.8800,0.7610,0.7002,0.6006,0.7981,0.8169,0.7444,0.7634,0.6084,0.7699,0.7192,0.7019,0.7407,0.7447,0.7538,0.4298,0.7096,0.2546,0.4615,0.4994,0.5993,0.5685,0.8821
5,Louisville,3,0,2,0.8667,0.8037,0.6937,0.6454,0.7500,0.7418,0.8427,0.8187,0.6371,0.8217,0.6738,0.8431,0.7051,0.6981,0.7469,0.3289,0.7803,0.4583,0.6672,0.3968,0.6092,0.4191,0.5566
6,Maryland,2,1,2,0.8966,0.7196,1.0000,0.3802,0.9183,0.9624,0.8483,1.0000,0.4517,0.8627,0.7411,0.7290,0.8538,0.8753,0.4835,0.5658,0.8384,0.4466,0.6787,0.6484,0.9204,0.6763,0.6934
7,Baylor,3,2,2,0.9032,0.6877,0.8053,0.8179,0.8606,0.6385,0.6264,0.7927,0.9399,0.9434,1.0000,0.7233,0.6678,0.6703,0.9511,0.5702,0.5972,0.6018,0.5614,0.7062,0.6276,0.6058,0.5566
8,Texas A&M,2,3,2,0.8966,0.7952,0.6586,0.5847,0.7885,0.8404,0.6742,0.6926,0.6319,0.7313,0.6823,0.7817,0.6549,0.6869,0.6187,0.4649,0.5991,0.5393,0.5876,0.3352,0.3806,0.7469,0.8113
9,Georgia,1,0,3,0.7586,0.8515,0.5580,0.6518,0.6346,0.5962,0.7135,0.5751,0.7441,0.7012,0.7014,0.7703,0.5137,0.5322,0.7374,0.5044,0.4792,0.5988,0.5352,0.4956,0.3545,0.5353,0.5330
10,UCLA,1,1,3,0.7500,0.6601,0.5952,0.7316,0.4808,0.7559,0.6601,0.7047,0.6736,0.7590,0.7555,0.6334,0.4573,0.4965,0.5750,0.3026,0.8359,0.6534,0.7763,0.5826,0.6486,0.6515,0.5425
11,Tennessee,1,2,3,0.6800,0.8667,0.5864,0.5879,0.6490,0.5211,0.6264,0.6218,0.6501,0.6904,0.8654,0.6205,0.5191,0.5206,0.7477,0.4518,0.5082,0.3276,0.3262,0.4519,0.3572,0.4896,0.6934
12,Arizona,5,3,3,0.7778,0.6492,0.4639,0.8179,0.5000,0.6667,0.5702,0.5665,0.7990,0.7205,0.5707,0.8944,0.4598,0.4611,0.7498,0.2939,0.7551,0.6620,0.7709,0.3124,0.4167,0.4938,0.6368
13,Arkansas,0,0,4,0.6667,0.7398,0.8053,0.2332,0.6827,0.9155,0.6938,0.7720,0.3368,0.6506,0.3038,0.9757,0.7216,0.7551,0.3323,0.6535,0.9179,0.4957,0.8396,0.2327,0.5743,0.7967,0.5472
14,W Virginia,1,1,4,0.7586,0.7475,0.5952,0.4760,0.6587,0.7418,0.6938,0.6321,0.5013,0.6289,0.6464,0.8203,0.5833,0.6112,0.4810,0.4430,0.5770,0.4644,0.5128,0.5783,0.4627,0.6473,0.6557
15,Kentucky,1,2,4,0.6667,0.8883,0.6105,0.4633,0.5913,0.7136,0.6713,0.6891,0.4360,0.6386,0.5500,0.7960,0.5588,0.5530,0.4757,0.3728,0.7620,0.4920,0.6721,0.3985,0.5195,0.4440,0.5377
16,Indiana,3,3,4,0.7778,0.6614,0.6411,0.6709,0.7163,0.3991,0.6461,0.6978,0.7180,0.7747,0.6667,0.8531,0.5708,0.5946,0.7291,0.4474,0.8655,0.4687,0.7207,0.4062,0.6698,0.6515,0.7217
17,Missouri St,2,0,5,0.8846,0.7302,0.4989,0.7668,0.5096,0.6479,0.6854,0.6287,0.7389,0.7361,0.8143,0.7004,0.4441,0.4661,0.6070,0.2939,0.7311,0.6202,0.6841,0.5832,0.5603,0.5311,0.6840
18,Georgia Tech,2,1,5,0.6538,0.7985,0.4486,0.6166,0.5673,0.5775,0.5337,0.5907,0.5039,0.6012,0.6374,0.7418,0.5008,0.4778,0.5537,0.1930,0.7146,0.3589,0.5281,0.5273,0.5421,0.3942,0.7406
19,Iowa,2,2,5,0.6667,0.7185,0.8972,0.0192,1.0000,1.0000,0.8764,0.8981,0.1201,0.6386,0.5566,0.8074,1.0000,1.0000,0.2419,0.5526,0.6212,0.2245,0.4179,0.7207,0.7287,0.6100,0.6887
20,Gonzaga,0,3,5,0.8571,0.6666,0.5667,0.8211,0.7885,0.7793,0.7275,0.7496,0.6971,0.8012,0.9576,0.5364,0.7100,0.7019,0.6431,0.2105,0.5322,0.5245,0.4719,0.7294,0.5699,0.4813,0.5377
