Rank,Name,Games Won,Region,Seed,Win %,SoS,Pts / Game,Opp Pts / Game,FG %,3Pt FG %,Free Throw %,Offense Rating,Defense Rating,Adj. Score Margin,Rebound %,Off. Rebound %,Effective FG %,True Shooting %,Opp. True Shoot %,Pace,Turnover %,Opp. Turnover %,Turnover Margin,Assist %,Assists / Turnover,FT / FGA,Opp. FT / FGA
3,Duke,6,3,1,0.9151047409,0.9090177134,0.852536005,0.5984126984,0.8909090909,0.6875,0.5662100457,0.9594272076,0.6019417476,0.8651685393,0.7350993377,0.7142857143,0.9032258065,0.8914285714,0.6148648649,0.431372549,0.731092437,0.3046875,0.5521327014,0.4772727273,0.6962962963,0.514619883,0.9692982456
2,Villanova,1,2,1,0.9371554576,0.8156199678,0.7661239825,0.700952381,0.696969697,0.6979166667,0.7123287671,0.8997613365,0.7184466019,0.8828250401,0.5761589404,0.5714285714,0.8333333333,0.8685714286,0.6418918919,0.387254902,0.7226890756,0.5,0.7069510269,0.7597402597,0.762962963,0.6725146199,0.7894736842
1,Kentucky,4,0,1,1,0.8607085346,0.6991233563,0.9107936508,0.6848484848,0.4895833333,0.6894977169,0.8663484487,1,1,0.8013245033,0.8744588745,0.6290322581,0.6914285714,1,0.3284313725,0.756302521,0.46875,0.6840442338,0.525974026,0.6666666667,0.7543859649,0.7807017544
4,Wisconsin,5,1,1,0.9184123484,0.9259259259,0.6408891672,0.7879365079,0.7515151515,0.5729166667,0.8584474886,1,0.5857605178,0.8844301766,0.7880794702,0.5541125541,0.8064516129,0.8457142857,0.5405405405,0.1176470588,1,0.15625,0.5924170616,0.3538961039,0.9185185185,0.5029239766,1
7,Gonzaga,3,3,2,0.9415656009,0.7177938808,0.8337507827,0.6774603175,1,0.7552083333,0.5296803653,0.9809069212,0.6796116505,0.9181380417,0.8410596026,0.6406926407,1,0.9657142857,0.7364864865,0.3970588235,0.731092437,0.21875,0.4968404423,0.5974025974,0.8148148148,0.4502923977,0.7938596491
6,Arizona,3,1,2,0.9128996692,0.8099838969,0.7695679399,0.7403174603,0.8060606061,0.546875,0.6575342466,0.8472553699,0.8381877023,0.9069020867,0.9271523179,0.658008658,0.7365591398,0.7885714286,0.6013513514,0.4607843137,0.7058823529,0.5078125,0.6469194313,0.4383116883,0.5925925926,0.865497076,0.5570175439
8,Kansas,1,0,2,0.7530319735,1,0.59830933,0.5774603175,0.5151515152,0.6458333333,0.6803652968,0.646778043,0.5987055016,0.6532905297,0.6490066225,0.6753246753,0.5161290323,0.5828571429,0.6824324324,0.4705882353,0.5294117647,0.21875,0.3380726698,0.5162337662,0.4222222222,0.6959064327,0.701754386
5,Virginia,1,2,2,0.8985667034,0.8260869565,0.4189104571,1,0.6181818182,0.5052083333,0.6894977169,0.754176611,0.9093851133,0.8796147673,0.8741721854,0.645021645,0.5806451613,0.6057142857,0.8716216216,0.07352941176,0.7731092437,0.2890625,0.5300157978,0.4772727273,0.6666666667,0.3742690058,0.8859649123
12,Notre Dame,3,0,3,0.8544652701,0.7942834138,0.8121477771,0.5473015873,0.9333333333,0.703125,0.7625570776,0.9832935561,0.4466019417,0.8041733547,0.4635761589,0.3722943723,0.9946236559,1,0.5202702703,0.3235294118,0.8151260504,0.2109375,0.5718799368,0.5227272727,0.8518518519,0.4795321637,0.9429824561
9,Iowa St,0,3,3,0.7364939361,0.8800322061,0.8065122104,0.4444444444,0.7333333333,0.5572916667,0.5525114155,0.76849642,0.5339805825,0.7030497592,0.5099337748,0.3896103896,0.7795698925,0.7657142857,0.5202702703,0.6225490196,0.731092437,0.3125,0.5813586098,0.6266233766,0.7407407407,0.3742690058,0.9254385965
11,Oklahoma,2,2,3,0.6824696803,0.9118357488,0.6083281152,0.6431746032,0.4848484848,0.4583333333,0.7579908676,0.6205250597,0.7411003236,0.7062600321,0.5496688742,0.5281385281,0.5107526882,0.5428571429,0.7635135135,0.5049019608,0.6302521008,0.3671875,0.5410742496,0.3181818182,0.4222222222,0.3099415205,0.8815789474
