Rank,Name,Games Won,Region,Seed,Win %,SoS,Pts / Gm,Opp Pts / Gm,FG %,3Pt FG %,Free Throw %,Offense Rating,Defense Rating,Adj. Score Margin,Rebound %,Off. Rebound %,Effective FG %,True Shooting %,Opp. True Shoot %,Pace,Turnover %,Opp. Turnover %,Turnover Margin,Assist %,Assists / Turnover,FT / FGA,Opp. FT / FGA
1,Duke,,0,1,0.9135514019,0.9457364341,0.848766328,0.6358042778,0.7071823204,0.2692307692,0.5064935065,0.7286432161,0.8493975904,0.8486646884,0.7254901961,0.8949579832,0.6772486772,0.6486486486,0.9133333333,0.6328502415,0.7692307692,0.6060606061,0.756097561,0.4711864407,0.5737704918,0.5206185567,0.9636363636
2,Gonzaga,,1,1,0.9626168224,0.645994832,1,0.6841488427,1,0.6373626374,0.8354978355,1,0.8313253012,1,0.7516339869,0.6554621849,1,1,0.9266666667,0.5362318841,0.9615384615,0.4444444444,0.8020086083,0.606779661,1,0.7319587629,0.8727272727
3,Virginia,,2,1,0.953271028,0.842377261,0.4417997097,1,0.6740331492,0.7417582418,0.7878787879,0.7587939698,0.8915662651,0.8872403561,0.7516339869,0.6344537815,0.7301587302,0.7243243243,1,0.01449275362,0.9230769231,0.3636363636,0.6972740316,0.5661016949,0.8032786885,0.4278350515,0.8818181818
4,Tennessee,,3,1,0.9135514019,0.797588286,0.793904209,0.6044535599,0.8453038674,0.5659340659,0.8311688312,0.8015075377,0.671686747,0.8041543027,0.6274509804,0.6638655462,0.8042328042,0.8216216216,0.7933333333,0.4347826087,0.8269230769,0.4141414141,0.7109038737,0.7898305085,0.893442623,0.6494845361,0.7363636364
5,Michigan,,0,2,0.8761682243,0.84625323,0.4087082729,0.8857310284,0.5359116022,0.4835164835,0.5281385281,0.5351758794,0.8765060241,0.7477744807,0.4901960784,0.3739495798,0.5714285714,0.5297297297,0.9266666667,0.2222222222,0.9711538462,0.4747474747,0.8055954089,0.4271186441,0.7131147541,0.3092783505,0.9636363636
6,Michigan St,,1,2,0.8341121495,0.9289405685,0.6928882438,0.6692059771,0.7458563536,0.6758241758,0.7229437229,0.7286432161,0.7138554217,0.7818991098,0.8366013072,0.7899159664,0.7883597884,0.7837837838,0.96,0.3913043478,0.6153846154,0.1212121212,0.400286944,1,0.7459016393,0.6288659794,0.8
7,Kentucky,,2,2,0.8703271028,0.8531438415,0.6391872279,0.6944037504,0.7127071823,0.5604395604,0.7532467532,0.7010050251,0.7138554217,0.765578635,0.908496732,0.9243697479,0.6666666667,0.7135135135,0.7266666667,0.3623188406,0.6442307692,0.5454545455,0.631276901,0.4237288136,0.4262295082,0.8711340206,0.8636363636
8,UNC,,3,2,0.8271028037,0.9220499569,0.8960812772,0.4655728098,0.679558011,0.6538461538,0.7229437229,0.6934673367,0.7018072289,0.7551928783,0.8562091503,0.7773109244,0.6931216931,0.6864864865,0.64,0.7439613527,0.6923076923,0.5353535354,0.6470588235,0.7525423729,0.6803278689,0.4639175258,0.75
9,Marquette,,0,3,0.8703271028,0.7420327304,0.6586357039,0.5848227366,0.6464088398,0.7802197802,0.8528138528,0.6130653266,0.6656626506,0.6899109792,0.6732026144,0.5378151261,0.7407407407,0.772972973,0.7533333333,0.4637681159,0.5480769231,0.3131313131,0.4741750359,0.4203389831,0.3606557377,0.675257732,0.6909090909
10,Houston,,1,3,1,0.5611541774,0.5509433962,0.82888954,0.5082872928,0.532967033,0.6493506494,0.6407035176,0.8674698795,0.8056379822,0.7843137255,0.7647058824,0.5873015873,0.5783783784,0.98,0.3140096618,0.7596153846,0.3939393939,0.612625538,0.6101694915,0.5737704918,0.4639175258,0.6272727273
