Rank,Name,Games Won,Region,Seed,Win %,SoS,Pts / Gm,Opp Pts / Gm,FG %,3Pt FG %,Free Throw %,Offense Rating,Defense Rating,Adj. Score Margin,Rebound %,Off. Rebound %,Effective FG %,True Shooting %,Opp. True Shoot %,Pace,Turnover %,Opp. Turnover %,Turnover Margin,Assist %,Assists / Turnover,FT / FGA,Opp. FT / FGA
1,UConn,,0,1,0.9614,0.7226,0.8962,0.7940,0.8713,0.7293,0.7428,0.8504,0.9321,0.9736,0.7235,0.5727,0.8449,0.8445,0.9254,0.5098,0.9313,0.4379,0.7618,0.6768,0.9106,0.4685,1.0000
2,Baylor,,1,1,1.0000,0.8557,0.8396,0.7913,0.9554,0.7380,0.5072,0.7852,0.9599,0.9366,1.0000,0.7788,0.7510,0.7395,0.9085,0.5392,0.8313,0.4024,0.6348,0.8950,0.9065,0.5180,0.6955
3,Louisville,,2,1,0.9614,0.8434,0.7877,0.6856,0.7723,0.7773,0.8007,0.7852,0.7438,0.8441,0.5389,0.5303,0.7714,0.7941,0.6679,0.4510,0.8375,0.5976,0.8246,0.4976,0.6368,0.5586,0.6173
4,Notre Dame,,3,1,0.9257,1.0000,0.9858,0.5881,0.9851,0.6681,0.7138,0.8169,0.7747,0.8811,0.7595,0.7455,0.8082,0.8361,0.7816,0.7402,0.7813,0.4379,0.6590,0.5608,0.6600,0.7207,0.8519
5,NC State,,0,2,0.9213,0.7585,0.6226,0.7019,0.6485,0.6245,0.6159,0.6444,0.7469,0.7398,0.7957,0.5727,0.6653,0.6681,0.8228,0.3873,0.7000,0.2071,0.4414,0.4864,0.4597,0.4820,0.9136
6,Miss St,,1,2,0.9614,0.6633,0.9788,0.7507,0.8663,0.7598,0.7536,0.9032,0.9012,1.0000,0.9353,1.0000,0.7388,0.7773,0.6910,0.5588,0.9125,0.7396,0.9120,0.2723,0.6105,0.6802,0.6749
7,Stanford,,2,2,0.8813,0.8836,0.6769,0.6070,0.6733,0.6856,0.6232,0.6778,0.6451,0.7213,0.6069,0.4879,0.7143,0.7017,0.6534,0.5882,0.7938,0.3491,0.6147,0.3824,0.5136,0.3514,0.6914
8,Oregon,,3,2,0.9257,0.7918,1.0000,0.6450,0.9802,1.0000,0.9203,1.0000,0.5000,0.9009,0.7546,0.5970,1.0000,1.0000,0.5103,0.3431,1.0000,0.3314,0.6862,0.5465,1.0000,0.4505,0.8354
9,Oregon St,,0,3,0.8482,0.6660,0.7453,0.6640,0.8218,0.8690,0.7826,0.7817,0.6358,0.7952,0.7305,0.4424,0.8449,0.8403,0.7535,0.3382,0.8438,0.0000,0.4126,0.4826,0.6633,0.4009,0.8724
10,Miami (Fla.),,1,3,0.8176,0.7237,0.6722,0.5908,0.6634,0.7162,0.5543,0.6197,0.5864,0.6526,0.6795,0.6364,0.6531,0.6723,0.6921,0.4608,0.6313,0.2959,0.4496,0.4994,0.4048,0.6306,0.6955
